,titles,links
0,"Vaseline Body Ice Cream, 165 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0259195DZJ2S7GUU09J&url=%2FVaseline-Body-Ice-Cream-165%2Fdp%2FB085WKL537%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283239%26sr%3D8-1-spons%26psc%3D1&qualifier=1624283239&id=8919141745039535&widgetName=sp_atf
1,"NIVEA Soft Light Moisturizer Cream, with Vitamin E & Jojoba Oil for Face, Hands and Body, 500 ml",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10098753H3B6HIU122VR&url=%2FNivea-Cream-Light-Moisturiser-Vitamin%2Fdp%2FB07YLY1YT1%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283239%26sr%3D8-2-spons%26psc%3D1&qualifier=1624283239&id=8919141745039535&widgetName=sp_atf
2,"Organic Harvest Coffee with Cocoa, Olive Oil & Aloe Vera Body Butter Cream for Women | Deep Moisturizing Cream for Dry Face & Body Skin | Sulphates & Parabens-free - 100 ml",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08134041VAJQ9K5ITIYM&url=%2FOrganic-Harvest-Moisturizing-Sulphates-Parabens-free%2Fdp%2FB08QS4DPY1%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283239%26smid%3DAMUQ56Q1P787N%26sr%3D8-3-spons%26psc%3D1&qualifier=1624283239&id=8919141745039535&widgetName=sp_atf
3,"NIVEA Crème, All Season Multi-Purpose Cream, 200ml",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08630892NJ84HXX9QWWP&url=%2FNivea-Creme-200ml%2Fdp%2FB00GQVESKA%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283239%26sr%3D8-4-spons%26psc%3D1&qualifier=1624283239&id=8919141745039535&widgetName=sp_atf
4,"Himalaya Rich Cocoa Butter Body Cream, 200ml",https://www.amazon.in/Himalaya-Cocoa-Butter-Cream-200ml/dp/B01N4HP2ET/ref=sr_1_5?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-5
5,"Himalaya Herbals Cocoa Butter Intensive Body Lotion, 400ml",https://www.amazon.in/Himalaya-Herbals-Butter-Intensive-Lotion/dp/B006G84AA6/ref=sr_1_6?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-6
6,"VLCC Almond Honey Body Lotion, 350ml Buy 1 Get 1 free",https://www.amazon.in/VLCC-Almond-Nourishing-Brightening-Lotion/dp/B077JSDB6V/ref=sr_1_7?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-7
7,"Aveeno Daily Moisturizing Lotion For Normal To Dry Skin With Oats, 354ml",https://www.amazon.in/Aveeno-Daily-Moisturizing-Lotion-Normal/dp/B0105LFXJ6/ref=sxin_10?asc_contentid=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&creativeASIN=B0105LFXJ6&cv_ct_cx=Body+Cream&cv_ct_id=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=Body+Cream&linkCode=oas&pd_rd_i=B0105LFXJ6&pd_rd_r=522b9002-ae41-4d4e-abf0-778521fedbf4&pd_rd_w=XqbnJ&pd_rd_wg=2rWeB&pf_rd_p=04cb5ab0-b8fd-4cb3-8087-30e7d341d745&pf_rd_r=5YZXKQEHYBPW0S3Y37RM&qid=1624283239&sr=1-1-483c64d8-df78-4008-ae20-e69f683e58b1&tag=htlifestyle-21
8,"Cetaphil Moisturizing Lotion, 100 ml",https://www.amazon.in/Cetaphil-Moisturizing-Lotion-100ml/dp/B01ER4HR4Q/ref=sxin_10?asc_contentid=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&creativeASIN=B01ER4HR4Q&cv_ct_cx=Body+Cream&cv_ct_id=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=Body+Cream&linkCode=oas&pd_rd_i=B01ER4HR4Q&pd_rd_r=522b9002-ae41-4d4e-abf0-778521fedbf4&pd_rd_w=XqbnJ&pd_rd_wg=2rWeB&pf_rd_p=04cb5ab0-b8fd-4cb3-8087-30e7d341d745&pf_rd_r=5YZXKQEHYBPW0S3Y37RM&qid=1624283239&sr=1-2-483c64d8-df78-4008-ae20-e69f683e58b1&tag=htlifestyle-21
9,"MCaffeine Naked and Raw Coffee Body Lotion | Moisturization | White Water Lily, Shea Butter | Normal to Oily Skin | Paraben and Mineral Oil-Free for all skin types ( 200 ml )",https://www.amazon.in/mCaffeine-Coffee-Moisturization-Paraben-Mineral/dp/B07YL51LP7/ref=sxin_10?asc_contentid=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&creativeASIN=B07YL51LP7&cv_ct_cx=Body+Cream&cv_ct_id=amzn1.osa.13b59adf-5a66-4b13-b7a6-f4277164ed9a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=Body+Cream&linkCode=oas&pd_rd_i=B07YL51LP7&pd_rd_r=522b9002-ae41-4d4e-abf0-778521fedbf4&pd_rd_w=XqbnJ&pd_rd_wg=2rWeB&pf_rd_p=04cb5ab0-b8fd-4cb3-8087-30e7d341d745&pf_rd_r=5YZXKQEHYBPW0S3Y37RM&qid=1624283239&smid=A2A53F3N8CEFWW&sr=1-3-483c64d8-df78-4008-ae20-e69f683e58b1&tag=htlifestyle-21
