Title,Link,Market size,Forecasted Market Size/ Revenue,CAGR (%) ,Companies ,Geographies/ Regions covered,Segment 1,Segment 2,Segment 3,Segment 4,Sub-segment 1,Sub-segment 2,Sub-segment 3,Sub-segment 4,Level 1,Level 2,Level 3,Level 4
"Tobacco Market Size, Share & Trends Analysis Report By Product (Smokeless, Cigarettes, Cigar & Cigarillos, Next Generation Products, Waterpipes), By Region, And Segment Forecasts, 2021 - 2028",https://www.grandviewresearch.com/industry-analysis/tobacco-market,USD 932.11 billion ,"
USD 1,073.79 billion
",1.8%,"
Pyxus International, Inc., Swedish Match AB, Altria Group, Inc., Korea Tobacco & Ginseng Corporation, Imperial Brands, Philip Morris International, British American Tobacco, Japan Tobacco Inc., Scandinavian Tobacco Group, ITC Limited, China National Tobacco Corporation
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Regional ,,,"Smokeless, Cigarettes, Cigar & Cigarillos, Next Generation Products, Waterpipes, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"U.S., Turkey, Russia, China, India, Brazil, Egypt",,
"Roll-Your-Own Tobacco Product Market Size, Share & Trends Analysis Report By Products (RYO Tobacco, Filter & Paper Tip), By Distribution Channel (Offline, Online), And Segment Forecasts, 2021 - 2028",https://www.grandviewresearch.com/industry-analysis/roll-your-own-tobacco-products-market,USD 7.49 billion ,"
USD 10.42 billion
",4.2%,"
Imperial Brands, British American Tobacco, Japan Tobacco International, Scandinavian Tobacco Group A/S, Altria Group, Inc., Philip Morris International, HBI International, Curved Papers, Inc., Karma Filter Tips, Shine Brands
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Products ,Distribution Channel ,Regional ,,"RYO Tobacco, Rolling Paper & Cigarette Tubes, Injector, Filter & Paper Tip","Offline, Online","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"U.S., Germany, U.K., France, China, Australia, Brazil",
"Ready To Drink Cocktails Market Size, Share & Trends Analysis Report By Type (Spirit, Wine, Malt), By Distribution Channel (Hypermarkets/Supermarkets, Online), By Packaging, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/ready-to-drink-cocktails-market,USD 649.9 million ,"
USD 1,626.3 million
",12.1%,"
Diageo, Brown-Forman, Pernod Ricard, Bacardi Ltd., Asahi Group Holdings, Ltd., Halewood Wines & Spirits, Shanghai Bacchus Liquor Co., Ltd., Suntory Holdings Ltd., Manchester Drinks, Simple Skiff Beverages, LLC.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",Type ,Packaging ,Distribution Channel ,Regional ,"Malt-based, Spirit-based, Wine-based","Bottle, Cans","Supermarkets/Hypermarkets, Online, Liquor Stores","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",,,,"U.S., U.K., Germany, France, China, Japan, Australia, Brazil, South Africa"
"Craft Rum Market Size, Share & Trends Analysis Report By Distribution Channel (On-trade, Off-trade), By Region (North America, Europe, APAC, Central & South America, MEA), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/craft-rum-market,USD 1.06 billion ,"
USD 1.60 billion
",5.2%,"
Bacardi Limited, Suntory Holdings Limited, Diageo, Maine Craft Distilling, LLC, Charles Merser & Co., Drum & Black Rum Company, Wicked Dolphin Rum, Domaines Ellam and Arizona Craft Beverage, Rockstar Spirits Ltd., Belize Spirits Marketing, Inc.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Distribution Channel ,Regional ,,,"On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,," U.S., Germany, U.K., France, India, Philippines, Brazil",,
"Premium Spirit Market Size, Share & Trends Analysis Report By Product (Vodka, Whiskey, Gin, Tequila, Rum, Brandy), By Distribution Channel (On-trade, Off-trade), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/premium-spirit-market,USD 107.74 billion ,"
USD 235.74 billion
",10.3%,"
Diageo, Pernod Ricard, TITO’S HANDMADE VODKA, HITEJINRO CO., LTD, Bacardi Limited, Tanduay Distillers, Inc., Allied Blenders and Distillers Pvt. Ltd. (ABD), Guizhou Moutai Wine Co., Ltd., Alliance Global Group, Inc. (Emperador), ROUST, Brown Forman Corporation
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,"Vodka, Whiskey, Gin, Tequila, Rum, Brandy, Others","On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Germany, The U.K., China, India, Brazil, South Africa",
"Cognac Market Size, Share & Trends Analysis Report By Grade (V.S., V.S.O.P.), By Distribution Channel (On-trade, Off-trade), By Region (North America, Europe, APAC, RoW), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/cognac-market,USD 3.88 billion ,"
USD 5.09 billion
",3.5%,"
Courvoisier S.A.S., DAVIDOFF OF GENEVA USA ONLINE, INC., E. Rémy Martin & Co, HENNESSY, KELT International, Louis Royer SAS, MAISON FERRAND, Mewkow, Pernod Ricard, Thomas HINE & Co
","North America, Europe, Asia Pacific, Rest of the World",Grade ,Distribution Channel ,Regional ,,"V.S., V.S.O.P., Others","On-trade, Off-trade","North America, Europe, Asia Pacific, Rest of the World",,,,"The U.S., The U.K., Germany, France, Netherlands, China, South Africa",
"Hard Seltzer Market Size, Share & Trends Analysis Report By ABV Content (1.0% To 4.9%, 5.0% To 6.9%), By Distribution Channel (On-trade, Off-trade), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/hard-seltzer-market,USD 4.4 billion ,"
USD 14.5 billion
",16.2%,"
Anheuser-Busch InBev, Barefoot Cellars, Blue Marble, Boathouse Beverage Co., Future Proof Brands LLC, CUTWATER SPIRITS, Ficks & Co., HIGH NOON SPIRITS COMPANY, Kona Brewing Co., Lift Bridge Brewing Co.
","Americas, Europe, Middle East & Africa, Asia Pacific",ABV Content ,Distribution Channel ,Regional ,,"1.0% to 4.9%, 5.0% to 6.9%, Others","On-trade, Off-trade","Americas, Europe, Middle East & Africa, Asia Pacific",,,,"The U.S., Canada, Brazil, The U.K., China, Australia, South Korea",
"Snus Market Size, Share & Trends Analysis Report By Product (Loose, Portion (Original, White)), By Region (North America, Europe, Asia Pacific, CSA, MEA), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/snus-market,USD 2.41 billion ,"
USD 3.70 billion
",5.5%,"
Swedish Match AB, British American Tobacco, Altria Group, Inc., AG Snus, Burger Söhne Sweden AB, Dacapo Silver AB, Fiedler & Lundgren, GN Tobacco, Gordito Oü, Gotlandssnus, Nordic Snus AB, and Skruf Snus
","North America, Europe, Asia Pacific, Central & South America (CSA), Middle East & Africa (MEA)",Product ,Regional ,,,"Loose, Portion","North America, Europe, Asia Pacific, Central & South America (CSA), Middle East & Africa (MEA)",,,"Original, White, Others","The U.S., Sweden, Russia, Norway, India, Indonesia, Bangladesh",,
"Canned Wines Market Size, Share & Trends Analysis Report By Product (Sparkling, Fortified), By Distribution Channel (On-trade, Off-trade, Online Retail), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/canned-wines-market,USD 70.3 million ,,,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,"Sparkling, Fortified, Others","On-trade, Off-trade, Online Retail","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., The U.K., Germany, France, Japan, Australia, Argentina",
"Spiced Rum Market Size, Share & Trends Analysis Report By Product (Vanilla, Fruit, Mix), By Distribution Channel (On-trade, Off-trade), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/spiced-flavored-rum-market,USD 6.69 billion ,,,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,"Vanilla, Fruit, Mix, Others","On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Germany, The U.K., China, India, South Korea, Brazil",
"Vermouth Market Size, Share & Trends Analysis Report By Product (Dry, Sweet), By Distribution Channel (Off Trade, On Trade), By Region (North America, Europe, APAC, CSA, MEA), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/vermouth-market,USD 8.7 billion ,,,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,"Dry Vermouth, Sweet Vermouth","Off Trade, On Trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Spain, France, Italy, China, Japan, Brazil",
"Japanese Whisky Market Size, Share & Trends Analysis Report By Distribution Channel (On-Trade, Off-Trade), By Application (Commercial, Residential), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/japanese-whisky-market,USD 600.2 million ,,,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Application ,Distribution Channel ,Regional ,,"Commercial, Residential","On-Trade, Off-Trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., The U.K., France, China, Japan",
"Honey Wine Market Size, Share & Trends Analysis Report By Application (Fruits, Herbs, Spices), By Distribution Channel (On trade, Off trade), By Region (North America, Asia Pacific, Europe, MEA), And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/honey-wine-market,USD 408.45 million ,,10.41%,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,"Fruits, Spices, Herbs, Others","On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., France, Italy, U.K., China, Australia, Brazil",
"Champagne Market Size, Share & Trends Analysis Report By Product (Prestige Cuvée, Blanc De Noirs, Blanc De Blancs, Rosé), By Distribution Channel (Off-trade, On-trade), By Region, And Segment Forecasts, 2019 - 2025 ",https://www.grandviewresearch.com/industry-analysis/champagne-market,USD 5.5 billion ,,,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",Product ,Distribution Channel ,Regional ,,"Prestige Cuvée, Blanc De Noirs, Blanc De Blancs, Rosé Champagne, Others","Off-trade, On-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",,,,"The U.S., France, The U.K., China, Australia, Japan, South Africa",
"Wine Cooler Market Size, Share & Trends Analysis Report By Product (Free-standing, Countertop, Built-in), By Application (Residential, Commercial), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/wine-cooler-market,USD 2.05 billion ,"
USD 3.17 billion
",,"
Haier, LG Electronics, BSH Home Appliances Group. (Siemens AG), Climadi, Shenzhen VRBON Electrical Appliance Co., Ltd., Allavino, Avanti Products, Electrolux, Donlert Electrical Co. Ltd, EuroCave Group
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Application ,Regional ,,"Free-standing, Countertop, Built-in","Residential, Commercial","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Germany, The U.K., China, Japan, Brail, South Africa",
"Premium Lager Market Size, Share & Trends Analysis Report By Product (Conventional, Craft), By Distribution Channel (Off-trade, On-trade), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/premium-lager-market,USD 161.1 billion ,,4.5%,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,"Conventional, Craft","On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,," The U.S., Germany,  U.K., India, China,  Japan",
"Beer Kegs Market Size, Share & Trends Analysis Report By Raw Material (Steel, Plastic), By Region (North America, Europe, Asia Pacific, Central & South America, MEA), And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/beer-kegs-market,USD 45.2 billion ,,,"
American Keg Company, LLC, NDL Keg Inc., Shinhan Industrial Co, Ltd, Ningbo BestFriends Beverage Containers Co. Ltd, Blefa GmbH, Schaefer Container Systems, Petainer UK Holdings Ltd, Ardagh Group S.A., Julius Kleemann GmbH & Co KG, The Metal Drum Company
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Raw Material ,Regional ,,,"Steel, Plastic, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Canada, Mexico, Germany, U.K., China, India, Brazil",,
