,Title,Link,Market size,Forecasted Market Size,CAGR (%),Companies,Geographies/Region,Segments,Sub-segment 1,Sub-segment 2,Sub-segment 3,Sub-segment 4,Sub-segment 5,Sub-segment 6,Sub-segment 7,Sub-segment 8,Sub-segment 9,Sub-segment 10,Sub-segment 11,Sub-segment 12,Sub-segment 13,Sub-segment 14,Sub-segment 15,Sub-segment 16,Sub-segment 17,Sub-segment 18,Sub-segment 19,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Level 11,Level 12,Level 13,Level 14
0,"Emotion Detection and Recognition Market by Component (Solutions [Facial Expression Recognition, Speech & Voice Recognition], Services), Technology, Application Area, End User, Vertical, Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/emotion-detection-recognition-market-23376176.html,USD 19.5 billion,USD 37.1 billion,11.3%,"NEC Global (Japan), IBM (US), Intel (US), Microsoft (US), Apple (US), Gesturetek (Canada), Noldus Technology (Netherlands), Google (US), Tobii (Sweden), Cognitec Systems (Germany), Cipia Vision Ltd (Formerly Eyesight Technologies) (Israel), iMotions (Denmark), Numenta (US), Elliptic Labs (Norway), Kairos (US), PointGrab (US), Affectiva (US), nViso (Switzerland), Beyond Verbal (Israel), Sightcorp (Holland), Crowd Emotion (UK), Eyeris (US), Sentiance (Belgium), Sony Depthsense (Belgium), Ayonix (Japan), and Pyreos (UK). ","North America, Europe, APAC, and RoW","Technology, Component, Solution, Application Area, End User, Vertical And Region ","Feature Extraction and 3D Modelling
, Biosensors Technology
, Natural Learning Processing (NLP)
, Machine Learning (ML)
, Other Technologies (records management technology, big data analytics, and other middleware tech) ","Solutions
, Services ","Facial Expression Recognition
, Biosensing Solution
, Speech and Voice Recognition
, Gesture and Posture Recognition ","Medical Emergency
, Marketing and Advertising
, Law Enforcement, Surveillance, and Monitoring
, Entertainment and Consumer Electronics
, Other Application areas (robotics and eLearning) ","Enterprises
, Defense and Security Agency
, Commercial
, Industrial
, Other End User (people using wearable devices, mobile phones, and independent institutions) ","Academia and Research
, Media and Entertainment
, IT and ITES
, Healthcare and Social Assistance
, Telecommunications
, Retail and eCommerce
, Automotive
, BFSI
, Other Verticals ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
United States (US)
Canada , 
United Kingdom (UK)
Germany
The Netherlands
Rest of Europe (France, Russia, and Switzerland) , 
China
Japan
Australia
Rest of APAC (India, New Zealand, and Singapore) ",NA,NA,NA,NA,NA,NA,NA
1,"Mobile and Wireless Backhaul Market by Component (Equipment and Services[Designing & Consulting, Integration & Deployment]), Equipment (Microwave, Millimetre Wave, Sub-6 Ghz), Network Technology (5G, 4G, and 3G & 2G), and Region - Global forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/mobile-wireless-backhaul-market-1034.html,USD 9.3 billion,USD 15.5 billion,8.8%,"Ericssom(Sweden), Huawei(China), Nokia(Finland), NEC Corporation(Japan), ZTE(China), Fujitsu(Japan), Broadcom(US), Ceragon(Israel), Aviat(US), SIAE(Italy), Proxim Wireless(US), Intracom Telecom(Greece), AR RF/Microwave Instrumentation(US), Redline(Canada), DragonWave-X(US), E-Band(US), CBNG(UK), Radwin(Israel), CableFree(UK), CommScope(US), CCS(UK), Siklu(US), Blu Wireless(US), Fastback(US), Eravant(US), BLiNQ(Canada), and EC SYSTEM(Czech Republic).","North America, Europe, APAC, MEA, Latin America","By Component, Equipment, Services, Nework technology, Region","Equipment
, Services ","Microwave
, Millimeter Wave
, Sub-6 GHz ","Designing and Consulting
, Integration and Deployment
, Support and Maintenance ","3G and 2G
, 4G
, 5G ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
UK
Germany
Rest of Europe , 
China
Japan
Rest of APAC , 
Kingdom of Saudi Arabia
United Arab Emirates
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Data Fabric Market by Type (Disk-Based, In-Memory), Business Applications (Fraud Detection and Security Management, Customer Experience Management, Business Process Management, GRC Management), Service, Vertical and Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/data-fabric-market-237314899.html,USD 1.0 billion,USD 4.2 billion,26.3%,"Denodo Technologies (US), Global IDs (US), IBM Corporation (US), Informatica (US), NetApp (US), Oracle Corporation (US), SAP SE (Germany), Software AG (Germany), Splunk (US), Talend (US), Dell Technologies (US), HP Enterprise (US), Teradata Corporation (US), TIBCO Software (US), Precisely (US), Idera (US), Nexla (US), Stardog (US), Gluent (US), Starburst Data (US), HEXstream (US), QOMPLX (US), CluedIn (Denmark), Iguazio (Israel), and Cinchy (Canada) ","North America, Europe, APAC, Latin America, and MEA","Component, Data Fabric Type, Business Application, Deployment Mode, Organization Size, Vertical, and Region","Software
, Services
","Disk-based data fabric
, In-Memory data fabric ","Fraud Detection and Security Management
, Governance, Risk and Compliance Management
, Customer Experience Management
, Sales and Marketing Management
, Business Process Management
, Other Applications (Supply Chain Management, Asset Management, and Workforce Management) ","Cloud
, On-premises ","Large enterprises
, Small and medium-sized enterprises (SMEs) ","BFSI
, Telecommunications and IT
, Retail and E-Commerce
, Healthcare and Life Sciences
, Manufacturing
, Government
, Energy and Utilities
, Media and Entertainment
, Other Verticals (Transportation and Logistics, Travel and Hospitality, and Education).  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Managed services
Professional services

Consulting
Integration
Support and Maintenance ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Smart Shelves Market by Component (RFID Tags and Readers, ESL, IoT Sensors, Cameras, and Software and Solutions), Application (Inventory Management, Pricing Management, Content Management, and Planogram Management), and Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/smart-shelf-market-101938228.html,USD 1.8 billion,USD 7.1 billion,25.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Chatbot Market by Component, Type (Rule Based & AI Based), Application (Customer Service, Customer Engagement & Retention), Channel Integration, Business Function (ITSM, Finance), Vertical, and Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/smart-advisor-market-72302363.html,USD 2.9 billion,USD 10.5 billion,23.5%,"IBM (US), Microsoft (US), Google (US), AWS (US), Nuance (US), Oracle (US), Creative Virtual (UK), Artificial Solutions (Spain), Kore.ai (US), Inbenta (US), [24]7.AI (US), Aivo (Argentina) ServiceNow (US), Conversica (US), Personetics (US), LiveChat (Poland), MindMeld (US), CogniCor (US), Gupshup (US), Contus (India), Chatfuel (US), KeyReply (Singapore), SmartBots (US), Yellow Messenger (India), Kevit (India), Yekaliva (India), and Pypestream (US). ","North America, Europe, APAC, Latin America, and MEA","Component, Type, Channel Integration, Business Function, Vertical, and Region","Solutions
, Services
, Consulting
, System Integration and  Implementation
, Support and Maintenance ","Rule Based
, AI Based ","On-premises
, Cloud ","Websites
, Contact Centers
, Social Media
, Mobile Applications ","Large Enterprises
, Small and Medium-sized Enterprises (SMEs) ","Information Technology Service Management
, Human Resources
, Sales and Marketing
, Finance ","Customer Service
, Personal Assistant
, Branding and Advertisement
, Customer Engagement and Retention
, Data Privacy and Compliance
, Employee Engagement and On Boarding
, Payment Processing
, Others (Churn Analysis, Campaign Management, News Delivery, and Data Aggregation). ","BFSI
, IT and Telecom
, Retail and Ecommerce
, Healthcare and Life Sciences
, Transportation and Logistics
, Government
, Travel and Hospitality
, Media and Entertainment
, Others (Education, Energy and Utilities, and Manufacturing) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Software
Platform , 
Managed Services
Professional Services ",NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe  , 
China
India
Japan
Rest of APAC , 
Israel
UAE
South Africa
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA
5,"Logistics Automation Market by Component, Function (Warehouse and Storage Management, Transportation Management), Organization Size (SMES, Large Enterprises), Vertical (3PL, Retail and Ecommerce, FMCG, Manufacturing), and Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/logistics-automation-market-83657139.html,USD 48.4 billion,USD 88.9 billion,10.6%,"6 River Systems (US), ABB (Switzerland), BEUMER Group (Germany), Blue Yonder (US), Daifuku (Japan), Dematic (US), E&K Automation (Germany), Eyesee (Hardis Group) (France), Falcon Autotech (India), GreyOrange (US), HighJump (Korber) (US), Honeywell Intelligrated (US), Jungheinrich (Germany), Knapp (Austria), Locus Robotics (US), Manhattan Associates (US), Murata Machinery (Japan), Oracle (US), SAP (Germany), SBS Toshiba Logistics (Japan), Seegrid (US), SSI Schaefer (Germany), Swisslog (Switzerland), System Logistics (Italy), TGW Logistics Group (Austria), and Zebra Technologies (US). ","North America, Europe, APAC, MEA, and Latin America ","Component (hardware-integrated systems, software, and services), function, organization size, vertical, and region.","Hardware-integrated Systems
, Software
, Services
","Warehouse and Storage Management
, Transportation Management ","SMEs
, Large Enterprises ","In February 2021, Honeywell Intelligrated partnered with Fetch Robotics, a company that provides cloud-driven robotic solutions. Fetch Robotics will launch an autonomous mobile robot called PalletTransport1500 for contactless pallet transportation across distribution centers. It will utilize Honeywell Intelligrated’s Momentum warehouse execution system software to move pallets and other large payloads up to 1136 kg safely and efficiently.
, In May 2020, Manhattan Associates launched the Manhattan Active Warehouse Management solution. It is the world’s first cloud-native enterprise-class Warehouse Management System (WMS) that unifies every aspect of distribution and never needs upgrading. Manhattan Active WM ushers in a new level of speed, adaptability, and ease of use within distribution management.
, In March 2020, Dematic launched the Dematic Multishuttle (DMS) 2 E, which is the latest version of the company’s warehouse automation solution.
, In March 2020, Kion Group acquired Digital Applications International Limited (DAI) on behalf of Dematic. The acquisition of the UK-based software company that specializes in logistics automation solution will enhance the capabilities of the Dematic IQ Software and broaden the intralogistics software offerings.
, In September 2020, Jungheinrich acquired a stake in the robotics startup Magazino, based in Munich, and signed a contract, for strategic collaboration to develop the automation software and expand joint solutions for automated intralogistics. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Warehouse Management System (WMS) software
Transportation Management System (TMS) software , 
Consulting
Implementation
Support and Maintenance ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Green Data Center Market by Component (Solutions [Power, IT, Cooling] and Services [Design and Consulting, Maintenance and Support, Installation and Deployment]), Data Center Size (Small and Mid-sized, Large), Vertical, and Region -Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/green-data-center-gdc-market-1032.html,USD 49.2 billion,USD 140.3 billion,19.1%,"Schneider Electric (France), Vertiv (US), Hewlett Packard Enterprise (US), Green Revolution Cooling (US), Midas Green Technologies (US), Delta Electronics (Taiwan), Rittal (Germany), Eaton (Ireland), Cisco (US), Nortek Air Solutions (US), Dell Technologies (US), Asetek (Denmark), Airedale (UK),Lenovo (Hong Kong), Fujitsu (Japan), Cyber Power Systems (US), Super Micro (US), Tripp Lite (US), Inspur (China), CDP Energy (US), Bxterra Power Technology (US), ZutaCore(US), Submer (Spain), DCX The Liquid Cooling Company (Poland), and Liqit.io (Ukrain)","North America, APAC, Europe, Latin America, and MEA ","Component, data center size, vertical and regions.","Solutions
, Services
","Small and Medium-sized data centers
, Large data centers ","BFSI
, IT and Telecom
, Media and Entertainment
, Healthcare
, Government and Defense
, Retail
, Manufacturing
, Others (energy, research and academia, and transportation and logistics) ","North America
, Europe
, APAC
, MEA
, Latin America
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Cooling
Power
IT , 
Design and Consulting
Installation and Deployment
Maintenance and Support ",NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe , 
China
Japan
Australia and New Zealand
Rest of APAC , 
KSA (Kingdom of Saudi Arabia)
United Arab Emirates (UAE)
South Africa
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Simulation Software Market by Component (Software (FEA, CFD), Services), Deployment (Cloud, On-premises), Application (Product Engineering, R&D, and Gamification), Vertical (Automobile, Healthcare and Pharmaceuticals), and Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/simulation-software-market-263646018.html,USD 12.7 billion,USD 26.9 billion,13.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"AI Governance Market by Component (Solutions (Platforms And Software Tools) and Services), Deployment Mode, Organization Size, Vertical (BFSI, Healthcare and Life Sciences, Government and Defense, and Automotive), and Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/ai-governance-market-176187291.html,USD 50 million,"USD 1,016 million",65.5%,"Alphabet Inc. (US), Microsoft Corporation (US), IBM Corporation (US), Amazon Web Services, Inc. (US), QlikTech International AB (US), TIBCO Software Inc. (US), SAS Institute Inc. (US), Facebook, Inc. (US), SAP SE (Germany), Salesforce.com, Inc. (Salesforce), FICO (US), Zest AI (US), Pymetrics Inc. (US), H2O.ai, Inc. (US), Informatica LLC (US), Ataccama Corporation (Canada), DataRobot, Inc. (US), Dataiku (US), Kyndi, Inc. (US), SparkCognition, Inc. (US), Fiddler Labs, Inc. (US), DarwinAI (Canada), Truera (US), Genie AI Ltd. (UK), MindsDB Inc. (US), integrate.ai Inc. (Canada), Untangle AI Pte Ltd (Singapore), AnotherBrain (France), Diveplane Corporation (US), and 2021.AI (Denmark) ","North America, Europe, APAC, Rest of the World (Latin America and MEA)","Component, Deployment Mode, Organization Size, Vertical, And Region","Solution
, Services
","Cloud
, On-premises ","Large enterprises
, Small and medium-sized enterprises (SMEs) ","BFSI
, Government and Defense
, Healthcare and Life Sciences
, Media and Entertainment
, Retail
, IT and Telecom
, Automotive
, Other Verticals (education, travel and tourism, energy and utilities, and manufacturing).  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Software Tools
Platform , 
Consulting
Integration
Support and Maintenance ",NA,NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe                  , 
China
Japan
India
Singapore
Rest of APAC , 
MEA
Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Business Process Automation Market by Component, Deployment Type, Organization Size, Business Function (Sales and Marketing, HR, Acoounting and Finance, Supply Chain, Customer Service Support) Vertical, and Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/business-process-automation-market-197532385.html,USD 9.8 billion,USD 19.6 billion,12.2%,"IBM (US), Pegasystems (US), Appian (US), Kissflow(India), LAserfiche (US), Nintex (US), Oracle (US), Software AG (Germany), Salesforce (US) Microsoft (US) , Bizagi (UK), OpenText (Canada), TIBCO (US), Creatio (US), Genpact (US), DXC Technology (UK), Newgen Software (India), Bonitasoft (France), Kofax (US), FlowForma (Ireland), AuraQuantic (US), AgilePoint (US), Automation Hero (US), Quickbase (US), and, Cortex (UK). ","North America, Europe, APAC, MEA, and Latin America","Component, Business Function, Deployment Type, Organization Size, Vertical, and Regions","Platforms
, Services ","Consulting
, Deployment and integration
, Support and maintenance ","Human Resource Automation
, Supply Chain Automation
, Sales and Marketing Automation
, Accounting and Finance Automation
, Customer Service Support Automation
, Others (legal and compliance and R&D activities) ","Cloud
, On premises","Small and Medium-sized Enterprises (SMEs)
, Large Enterprises","BFSI
, Manufacturing
, IT
, Telecommunications
, Retail and Consumer Goods
, Healthcare
, Others (social media and entertainment, government, and transport and logistic)","North America
, Europe
, APAC
, MEA
, Latin America
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
UK
Germany
Rest of Europe , 
China
Japan
Australia
Rest of APAC , 
Saudi Arabia
UAE
South Africa
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA
